lon,lat,vs30,z1pt0,z2pt5,vs30measured
-76.85,-12.11,606.85071,92.41943355,0.5145,0
-76.84,-12.11,597.24448,99.26781153,0.5145,0
-76.83,-12.11,588.80748,105.800955,0.5145,0
-76.82,-12.11,629.51049,78.42178849,0.5145,0
-76.81,-12.11,423.17873,267.9951846,0.5145,0
-76.8,-12.11,584.55233,109.2952382,0.5145,0
-76.79,-12.11,760,33.72291916,0.5145,0
-76.78,-12.11,760,33.72291916,0.5145,0
-76.77,-12.11,760,33.72291916,0.5145,0
-76.76,-12.11,684.00998,54.06177879,0.5145,0
-76.75,-12.11,515.14957,192.5345544,0.5145,0
-76.74,-12.11,760,33.72291916,0.5145,0
-76.73,-12.11,760,33.72291916,0.5145,0
-76.72,-12.11,760,33.72291916,0.5145,0
-76.88,-12.12,760,33.72291916,0.5145,0
-76.87,-12.12,653.18424,66.46762022,0.5145,0
-76.86,-12.12,714.29413,44.52467225,0.5145,0
-76.85,-12.12,643.10483,71.26359369,0.5145,0
-76.84,-12.12,647.5377,69.10390559,0.5145,0
-76.83,-12.12,760,33.72291916,0.5145,0
-76.82,-12.12,760,33.72291916,0.5145,0
-76.81,-12.12,514.19859,194.1349401,0.5145,0
-76.8,-12.12,532.62089,165.8122211,0.5145,0
-76.79,-12.12,760,33.72291916,0.5145,0
-76.78,-12.12,760,33.72291916,0.5145,0
-76.77,-12.12,760,33.72291916,0.5145,0
-76.76,-12.12,717.3258,43.68781785,0.5145,0
-76.75,-12.12,562.72079,129.6156944,0.5145,0
-76.74,-12.12,760,33.72291916,0.5145,0
-76.73,-12.12,738.62748,38.31986662,0.5145,0
-76.72,-12.12,760,33.72291916,0.5145,0
-76.71,-12.12,760,33.72291916,0.5145,0
-76.7,-12.12,760,33.72291916,0.5145,0
-76.88,-12.13,760,33.72291916,0.5145,0
-76.87,-12.13,438.71121,255.2659421,0.5145,0
-76.86,-12.13,494.75817,217.0219427,0.5145,0
-76.85,-12.13,760,33.72291916,0.5145,0
-76.84,-12.13,756.83921,34.35847034,0.5145,0
-76.83,-12.13,726.89221,41.17033391,0.5145,0
-76.82,-12.13,487.1492,221.61057,0.5145,0
-76.81,-12.13,530.21225,169.2135518,0.5145,0
-76.8,-12.13,561.62722,130.7501966,0.5145,0
-76.79,-12.13,726.36905,41.30334378,0.5145,0
-76.78,-12.13,760,33.72291916,0.5145,0
-76.77,-12.13,527.71121,172.8361334,0.5145,0
-76.76,-12.13,760,33.72291916,0.5145,0
-76.75,-12.13,760,33.72291916,0.5145,0
-76.74,-12.13,760,33.72291916,0.5145,0
-76.73,-12.13,681.64893,54.90575426,0.5145,0
-76.72,-12.13,760,33.72291916,0.5145,0
-76.71,-12.13,760,33.72291916,0.5145,0
-76.7,-12.13,760,33.72291916,0.5145,0
-76.69,-12.13,760,33.72291916,0.5145,0
-76.88,-12.14,760,33.72291916,0.5145,0
-76.87,-12.14,468.7036,233.4648331,0.5145,0
-76.86,-12.14,760,33.72291916,0.5145,0
-76.85,-12.14,760,33.72291916,0.5145,0
-76.84,-12.14,760,33.72291916,0.5145,0
-76.83,-12.14,661.50736,62.80217517,0.5145,0
-76.82,-12.14,456.34984,242.0371296,0.5145,0
-76.81,-12.14,492.09774,218.6073764,0.5145,0
-76.8,-12.14,542.16251,153.1334157,0.5145,0
-76.79,-12.14,558.04102,134.5568526,0.5145,0
-76.78,-12.14,442.64173,252.2106861,0.5145,0
-76.77,-12.14,760,33.72291916,0.5145,0
-76.76,-12.14,685.28905,53.61119215,0.5145,0
-76.75,-12.14,526.08627,175.2406438,0.5145,0
-76.74,-12.14,437.62982,256.1178443,0.5145,0
-76.73,-12.14,760,33.72291916,0.5145,0
-76.72,-12.14,760,33.72291916,0.5145,0
-76.71,-12.14,760,33.72291916,0.5145,0
