lon,lat
-76.89,-11.96
-76.88,-11.96
-76.87,-11.96
-76.86,-11.96
-76.85,-11.96
-76.84,-11.96
-76.83,-11.96
-76.82,-11.96
-76.81,-11.96
-76.8,-11.96
-76.79,-11.96
-76.78,-11.96
-76.77,-11.96
-76.76,-11.96
-76.75,-11.96
-76.74,-11.96
-76.73,-11.96
-76.72,-11.96
-76.71,-11.96
-76.7,-11.96
-76.69,-11.96
-76.68,-11.96
-76.67,-11.96
-76.66,-11.96
-76.65,-11.96
-76.97,-11.97
-76.96,-11.97
-76.95,-11.97
-76.94,-11.97
-76.93,-11.97
-76.92,-11.97
-76.91,-11.97
-76.9,-11.97
-76.89,-11.97
-76.88,-11.97
-76.87,-11.97
-76.86,-11.97
-76.85,-11.97
-76.84,-11.97
-76.83,-11.97
-76.82,-11.97
-76.81,-11.97
-76.8,-11.97
-76.79,-11.97
-76.78,-11.97
-76.77,-11.97
-76.76,-11.97
-76.75,-11.97
-76.74,-11.97
-76.73,-11.97
-76.72,-11.97
-76.71,-11.97
-76.7,-11.97
-76.69,-11.97
-76.68,-11.97
-76.67,-11.97
-76.66,-11.97
-76.97,-11.98
-76.96,-11.98
-76.95,-11.98
-76.94,-11.98
-76.93,-11.98
-76.92,-11.98
-76.91,-11.98
-76.9,-11.98
-76.89,-11.98
-76.88,-11.98
-76.87,-11.98
-76.86,-11.98
-76.85,-11.98
-76.84,-11.98
-76.83,-11.98
-76.82,-11.98
-76.81,-11.98
-76.8,-11.98
-76.79,-11.98
-76.78,-11.98
-76.77,-11.98
-76.76,-11.98
-76.75,-11.98
-76.74,-11.98
-76.73,-11.98
-76.72,-11.98
-76.71,-11.98
-76.7,-11.98
-76.69,-11.98
-76.68,-11.98
-76.67,-11.98
-76.78,-11.99
-76.77,-11.99
-76.76,-11.99
-76.75,-11.99
-76.74,-11.99
-76.73,-11.99
-76.72,-11.99
-76.71,-11.99
-76.78,-12
-76.77,-12
-76.76,-12
-76.75,-12
-76.74,-12
-76.73,-12
-76.78,-12.01
-76.77,-12.01
-76.76,-12.01
-76.75,-12.01
-76.74,-12.01
-76.73,-12.01
-76.72,-12.01
-76.78,-12.02
-76.77,-12.02
-76.76,-12.02
-76.75,-12.02
-76.74,-12.02
-76.73,-12.02
-76.72,-12.02
-76.78,-12.03
-76.77,-12.03
-76.76,-12.03
-76.75,-12.03
-76.74,-12.03
-76.73,-12.03
-76.72,-12.03
-76.71,-12.03
-76.78,-12.04
-76.77,-12.04
-76.76,-12.04
-76.75,-12.04
-76.74,-12.04
-76.73,-12.04
-76.72,-12.04
-76.71,-12.04
-76.7,-12.04
-76.78,-12.05
-76.77,-12.05
-76.76,-12.05
-76.75,-12.05
-76.74,-12.05
-76.73,-12.05
-76.72,-12.05
-76.71,-12.05
-76.7,-12.05
-76.69,-12.05
-77.01,-12.03
-77,-12.03
-77.01,-12.04
-77,-12.04
-77.01,-12.05
-77,-12.05
-77.01,-12.06
-77,-12.06
-76.97,-12.09
-76.96,-12.09
-76.95,-12.09
-76.94,-12.09
-76.93,-12.09
-76.92,-12.09
-76.97,-12.1
-76.96,-12.1
-76.95,-12.1
-76.94,-12.1
-76.93,-12.1
-76.92,-12.1
-76.97,-12.11
-76.96,-12.11
-76.95,-12.11
-76.94,-12.11
-76.93,-12.11
-76.92,-12.11
-76.97,-12.12
-77.07,-11.58
-77.06,-11.58
-77.05,-11.58
-77.08,-11.59
-77.07,-11.59
-77.06,-11.59
-77.05,-11.59
-77.04,-11.59
-77.08,-11.6
-77.07,-11.6
-77.06,-11.6
-77.05,-11.6
-77.04,-11.6
-77.03,-11.6
-77.09,-11.61
-77.08,-11.61
-77.07,-11.61
-77.06,-11.61
-77.05,-11.61
-77.04,-11.61
-77.03,-11.61
-77.02,-11.61
-77.01,-11.61
-77.1,-11.62
-77.09,-11.62
-77.08,-11.62
-77.07,-11.62
-77.06,-11.62
-77.05,-11.62
-77.04,-11.62
-77.03,-11.62
-77.02,-11.62
-77.13,-11.63
-77.12,-11.63
-77.11,-11.63
-77.1,-11.63
-77.09,-11.63
-77.08,-11.63
-77.07,-11.63
-77.06,-11.63
-77.05,-11.63
-77.04,-11.63
-77.03,-11.63
-77.02,-11.63
-77.13,-11.64
-77.12,-11.64
-77.11,-11.64
-77.1,-11.64
-77.09,-11.64
-77.08,-11.64
-77.07,-11.64
-77.06,-11.64
-77.05,-11.64
-77.04,-11.64
-77.03,-11.64
-77.12,-11.65
-77.11,-11.65
-77.1,-11.65
-77.09,-11.65
-77.08,-11.65
-77.07,-11.65
-77.06,-11.65
-77.05,-11.65
-77.04,-11.65
-77.16,-11.66
-77.15,-11.66
-77.13,-11.66
-77.12,-11.66
-77.11,-11.66
-77.1,-11.66
-77.09,-11.66
-77.08,-11.66
-77.07,-11.66
-77.06,-11.66
-77.05,-11.66
-77.04,-11.66
-77.17,-11.67
-77.16,-11.67
-77.15,-11.67
-77.14,-11.67
-77.13,-11.67
-77.12,-11.67
-77.11,-11.67
-77.1,-11.67
-77.09,-11.67
-77.08,-11.67
-77.07,-11.67
-77.06,-11.67
-77.05,-11.67
-77.04,-11.67
-77.03,-11.67
-77.19,-11.68
-77.18,-11.68
-77.17,-11.68
-77.16,-11.68
-77.15,-11.68
-77.14,-11.68
-77.13,-11.68
-77.12,-11.68
-77.11,-11.68
-77.1,-11.68
-77.09,-11.68
-77.08,-11.68
-77.07,-11.68
-77.06,-11.68
-77.05,-11.68
-77.04,-11.68
-77.03,-11.68
-77.19,-11.69
-77.18,-11.69
-77.17,-11.69
-77.16,-11.69
-77.15,-11.69
-77.14,-11.69
-77.13,-11.69
-77.12,-11.69
-77.11,-11.69
-77.1,-11.69
-77.09,-11.69
-77.08,-11.69
-77.07,-11.69
-77.06,-11.69
-77.05,-11.69
-77.04,-11.69
-77.03,-11.69
-77.02,-11.69
-77.01,-11.69
-77.19,-11.7
-77.18,-11.7
-77.17,-11.7
-77.16,-11.7
-77.15,-11.7
-77.14,-11.7
-77.13,-11.7
-77.12,-11.7
-77.11,-11.7
-77.1,-11.7
-77.09,-11.7
